Client_ID,Age,Gender,Education,Income,Loan_Amount,Loan_Purpose,Credit_Score,Interest_Rate,Loan_Term_Years,Employment_Type,Default_Status
23715,43,Male,Post Graduate,99843,393337,Personal,379,27.44,7,Business,1
23716,45,Female,Graduate,122900,447185,Personal,368,27.45,7,Salaried,1
23717,28,Male,Graduate,27357,203193,Personal,481,17.61,15,Salaried,0
23718,42,Female,Post Graduate,88089,957239,Car,519,21.17,5,Salaried,1
23719,24,Female,Post Graduate,48820,134299,Home,491,11.12,10,Salaried,1
23720,60,Female,Graduate,40487,368459,Personal,425,12.52,5,Salaried,0
23721,23,Male,Under Graduate,99507,227203,Home,830,19.17,3,Business,0
23722,49,Male,Graduate,42188,812709,Home,617,12.75,10,Business,0
23723,61,Female,Graduate,98416,285699,Business,558,12.34,5,Business,0
23724,49,Male,Graduate,51310,769541,Personal,714,8.46,5,Salaried,1
23725,54,Female,Post Graduate,155636,1067635,Personal,620,9.47,15,Business,0
23726,54,Male,Graduate,114658,332790,Home,484,22.23,15,Self-Employed,0
23727,48,Female,Post Graduate,40062,245834,Personal,311,8.29,5,Salaried,0
23728,33,Male,Graduate,99671,1054817,Home,387,25.92,1,Salaried,0
23729,35,Female,Graduate,163487,570218,Car,397,9.57,1,Business,0
23730,43,Male,Under Graduate,89241,1044018,Business,707,11.13,7,Business,0
23731,64,Female,Post Graduate,29044,363695,Business,692,14.81,10,Business,0
23732,46,Male,Graduate,171421,654354,Education,367,22.53,10,Business,0
23733,24,Female,Graduate,173789,925148,Home,658,22.01,15,Business,0
23734,46,Male,Under Graduate,82263,862304,Business,617,12.93,10,Salaried,0
23735,60,Male,Graduate,76917,1197196,Car,378,14.54,10,Self-Employed,0
23736,29,Female,Under Graduate,28647,235745,Home,644,24.42,10,Salaried,0
23737,25,Male,Post Graduate,165262,307552,Home,419,17.94,10,Business,0
23738,52,Male,Graduate,125479,1075071,Home,565,17.16,5,Self-Employed,0
23739,40,Male,Under Graduate,118533,747813,Personal,309,20.67,5,Business,0
23740,31,Male,Under Graduate,43191,854122,Home,543,17.14,5,Salaried,1
23741,35,Female,Graduate,148526,52061,Education,624,16.68,3,Salaried,0
23742,52,Male,Graduate,118259,92331,Personal,615,23.97,5,Salaried,0
23743,48,Male,Graduate,140282,586369,Car,767,26.63,15,Salaried,1
23744,42,Female,Under Graduate,121781,968239,Home,769,18.99,15,Self-Employed,0
23745,61,Male,Post Graduate,100840,192876,Business,514,13.79,3,Salaried,0
23746,37,Female,Graduate,128286,721720,Car,773,26.99,7,Salaried,1
23747,46,Male,Graduate,81885,282852,Home,825,22.04,15,Business,0
23748,64,Female,Graduate,175972,901351,Home,554,21.09,3,Business,0
23749,27,Male,Graduate,85702,523645,Business,617,20.13,10,Self-Employed,0
23750,62,Female,Graduate,77924,100018,Personal,555,22.81,3,Salaried,1
23751,46,Female,Post Graduate,144679,91619,Home,826,23.51,5,Self-Employed,0
23752,45,Female,Graduate,64587,1155045,Personal,471,23.82,15,Salaried,0
23753,30,Male,Graduate,80197,469651,Home,674,27.52,1,Salaried,0
23754,39,Female,Post Graduate,176820,122335,Personal,759,16.22,5,Business,0
23755,31,Male,Graduate,86463,832951,Business,579,12.85,5,Salaried,0
23756,33,Female,Graduate,96636,1096135,Business,813,15.88,15,Self-Employed,0
23757,28,Female,Graduate,98779,232203,Home,660,23.34,7,Self-Employed,0
23758,60,Female,Graduate,138788,358772,Home,723,18.81,15,Salaried,0
23759,24,Male,Under Graduate,73246,798203,Business,818,25.29,5,Salaried,1
23760,51,Male,Post Graduate,141671,91665,Home,792,12.72,5,Salaried,0
23761,48,Female,Graduate,150430,131322,Car,803,22.74,1,Business,0
23762,31,Female,Graduate,66558,496922,Education,759,12.99,15,Salaried,1
23763,63,Female,Graduate,51244,533056,Home,727,23.98,3,Business,0
23764,21,Female,Post Graduate,176649,647283,Personal,802,16.76,15,Salaried,0
23765,58,Female,Post Graduate,49386,160494,Education,408,27.79,5,Self-Employed,0
23766,44,Female,Post Graduate,42312,1075411,Personal,766,21.37,3,Self-Employed,0
23767,51,Female,Graduate,127983,1013668,Education,751,22.83,5,Salaried,1
23768,61,Female,Graduate,28718,1032220,Business,429,8.85,5,Business,1
23769,46,Male,Under Graduate,85536,418165,Home,771,22.06,15,Salaried,0
23770,25,Female,Under Graduate,126766,567454,Personal,344,16.38,10,Self-Employed,1
23771,40,Male,Under Graduate,168527,103783,Business,694,14.46,3,Self-Employed,0
23772,61,Female,Graduate,67078,913761,Education,771,23.9,5,Business,0
23773,31,Male,Under Graduate,35542,799404,Personal,550,12.57,7,Business,0
23774,53,Male,Under Graduate,137575,772591,Car,500,11.64,7,Salaried,1
23775,58,Female,Under Graduate,141204,626345,Personal,422,15.11,15,Self-Employed,1
23776,47,Male,Graduate,149562,161261,Personal,818,20.59,3,Self-Employed,1
23777,54,Male,Under Graduate,162842,358356,Home,328,13.15,1,Self-Employed,0
23778,35,Female,Graduate,142593,650835,Car,782,19.17,7,Salaried,0
23779,52,Female,Post Graduate,120299,188418,Personal,622,15.7,10,Business,0
23780,41,Female,Graduate,154649,360898,Personal,556,15.93,10,Salaried,1
23781,25,Male,Under Graduate,133211,769285,Business,671,12.06,3,Salaried,0
23782,26,Female,Under Graduate,140897,401470,Home,729,14.44,3,Self-Employed,0
23783,58,Male,Graduate,34322,1181585,Home,598,13.48,10,Salaried,0
23784,42,Female,Post Graduate,77813,1023515,Education,809,12.87,5,Salaried,0
23785,38,Female,Graduate,71442,1096716,Personal,744,9.62,7,Business,0
23786,34,Male,Graduate,159600,1006382,Car,337,16.66,3,Self-Employed,0
23787,30,Male,Graduate,168211,84595,Home,651,12.89,10,Salaried,0
23788,33,Male,Graduate,129097,633955,Car,755,27.22,15,Business,0
23789,51,Female,Under Graduate,95447,55036,Car,316,20.03,15,Salaried,0
23790,50,Female,Graduate,27212,1112499,Car,685,17.24,5,Self-Employed,0
23791,23,Female,Post Graduate,54867,378465,Business,795,14.76,3,Business,1
23792,50,Male,Under Graduate,84662,679445,Home,799,17.22,3,Self-Employed,0
23793,26,Male,Under Graduate,118716,621337,Home,438,14.83,3,Salaried,1
23794,49,Male,Under Graduate,67672,814817,Personal,765,25.14,7,Self-Employed,0
23795,28,Male,Graduate,101682,1015567,Personal,578,13.12,5,Self-Employed,0
23796,64,Female,Under Graduate,80624,1087857,Business,643,13.6,5,Salaried,0
23797,63,Male,Graduate,154065,635129,Personal,343,22.19,5,Salaried,0
23798,64,Male,Under Graduate,31654,451424,Business,546,26.02,10,Self-Employed,1
23799,53,Female,Under Graduate,20246,242558,Car,739,21.6,10,Salaried,0
23800,37,Female,Under Graduate,76714,1144023,Education,475,9.69,1,Salaried,0
23801,31,Male,Graduate,64738,573974,Home,336,25.98,15,Salaried,1
23802,33,Male,Post Graduate,76247,1148643,Car,602,23.39,5,Salaried,0
23803,31,Male,Under Graduate,166250,588452,Business,794,12.79,3,Salaried,0
23804,51,Male,Under Graduate,138055,924554,Home,357,9.25,15,Business,0
23805,48,Male,Graduate,48906,213663,Personal,364,22.35,3,Salaried,0
23806,64,Male,Under Graduate,153761,464703,Car,681,12.69,5,Salaried,1
23807,26,Female,Graduate,87004,936485,Business,623,18.48,15,Self-Employed,0
23808,61,Female,Post Graduate,85768,1024086,Personal,539,9.79,5,Salaried,0
23809,36,Female,Post Graduate,142699,622739,Business,558,19.36,15,Salaried,0
23810,24,Female,Graduate,148881,1113959,Home,541,8.43,3,Business,1
23811,55,Male,Graduate,165304,731768,Education,626,18.68,5,Salaried,0
23812,46,Male,Under Graduate,109060,767550,Personal,565,24.67,1,Business,0
23813,32,Male,Graduate,120190,619101,Personal,565,19.61,5,Self-Employed,0
23814,31,Male,Graduate,36693,995456,Business,668,25.69,1,Self-Employed,0
23815,57,Female,Under Graduate,176591,625806,Personal,613,18.98,5,Self-Employed,0
23816,45,Male,Under Graduate,111019,460668,Home,543,21.75,10,Salaried,1
23817,38,Male,Post Graduate,87136,675001,Personal,592,15.33,10,Self-Employed,0
23818,39,Male,Graduate,138002,170919,Home,630,13.94,5,Salaried,0
23819,43,Male,Graduate,49027,488231,Personal,377,14.72,1,Self-Employed,0
23820,58,Female,Under Graduate,84307,591040,Home,593,10.06,3,Self-Employed,1
23821,38,Male,Post Graduate,25729,1046551,Personal,807,13.09,3,Self-Employed,0
23822,46,Female,Post Graduate,77143,366422,Education,616,15.74,1,Self-Employed,1
23823,26,Male,Under Graduate,65932,546294,Home,749,14.83,3,Salaried,1
23824,24,Male,Graduate,166138,904401,Education,402,17.91,5,Business,0
23825,64,Male,Graduate,136529,923130,Car,328,17.77,3,Self-Employed,1
23826,49,Female,Under Graduate,169092,541915,Business,620,22.71,10,Salaried,0
23827,54,Male,Post Graduate,136363,937403,Education,663,15.91,1,Business,0
23828,37,Male,Post Graduate,87326,133090,Business,548,21.54,10,Salaried,0
23829,63,Male,Under Graduate,130016,1165419,Home,553,25.81,5,Self-Employed,0
23830,63,Female,Under Graduate,174370,592169,Business,396,17.12,7,Self-Employed,0
23831,36,Female,Post Graduate,61893,380437,Personal,321,19.07,5,Salaried,0
23832,22,Male,Graduate,144213,863914,Personal,821,21.54,5,Salaried,0
23833,54,Female,Under Graduate,122647,1140420,Home,453,17.88,7,Self-Employed,0
23834,28,Male,Post Graduate,62411,814840,Education,697,11.26,3,Self-Employed,0
23835,33,Male,Graduate,172004,193409,Personal,439,13.87,5,Salaried,0
23836,62,Female,Post Graduate,98732,110937,Business,319,8.56,10,Salaried,1
23837,28,Male,Graduate,152011,953113,Personal,781,21.67,3,Salaried,0
23838,50,Male,Under Graduate,162723,1108997,Car,590,13.59,1,Self-Employed,0
23839,52,Female,Post Graduate,29285,820569,Business,664,24.47,7,Self-Employed,0
23840,56,Female,Under Graduate,92626,455738,Business,513,21.12,15,Salaried,0
23841,50,Female,Under Graduate,47077,851589,Car,785,22.72,5,Business,1
23842,21,Female,Under Graduate,79757,338210,Home,711,25.65,10,Self-Employed,0
23843,63,Male,Under Graduate,64733,270606,Personal,514,16.51,5,Self-Employed,0
23844,59,Male,Under Graduate,175391,891448,Personal,541,11.77,3,Self-Employed,1
23845,37,Male,Graduate,45786,333370,Business,783,26.71,5,Self-Employed,0
23846,40,Male,Graduate,170754,1160058,Personal,578,27.92,5,Business,1
23847,44,Male,Under Graduate,26275,618689,Personal,442,12.36,3,Business,0
23848,42,Male,Post Graduate,63791,324485,Home,435,22.82,5,Salaried,0
23849,49,Male,Graduate,90353,1082845,Personal,761,9.45,5,Salaried,0
23850,42,Male,Graduate,171558,916185,Home,416,8.55,10,Self-Employed,1
23851,64,Female,Graduate,163882,986496,Home,655,21.5,5,Business,0
23852,29,Male,Under Graduate,124135,939610,Personal,322,13.1,15,Salaried,1
23853,57,Male,Under Graduate,69402,1167485,Business,380,25.36,1,Business,0
23854,30,Male,Graduate,166099,1105251,Personal,388,18.26,3,Self-Employed,0
23855,56,Male,Under Graduate,96868,756836,Home,758,23.64,1,Salaried,1
23856,57,Male,Graduate,62245,1129225,Personal,838,10.07,10,Salaried,0
23857,48,Female,Under Graduate,35077,912264,Education,777,25.49,3,Salaried,0
23858,48,Female,Post Graduate,128283,308616,Personal,622,11.8,7,Salaried,0
23859,62,Female,Under Graduate,168924,136084,Car,778,19.36,10,Self-Employed,0
23860,63,Male,Graduate,138721,460775,Education,821,20.19,5,Business,1
23861,41,Male,Graduate,70654,558623,Personal,350,9.32,1,Salaried,1
23862,44,Male,Under Graduate,81663,488459,Education,492,27.55,10,Self-Employed,0
23863,62,Male,Graduate,26600,1190374,Personal,402,14.04,3,Salaried,0
23864,60,Female,Under Graduate,90580,814974,Personal,535,22.28,1,Salaried,0
23865,22,Female,Post Graduate,36411,884469,Home,638,20.63,10,Self-Employed,0
23866,28,Male,Graduate,84364,1022495,Home,489,8.66,1,Salaried,1
23867,47,Male,Post Graduate,61860,598338,Home,416,25.25,7,Salaried,0
23868,42,Female,Graduate,85636,608828,Personal,370,14.09,5,Business,1
23869,57,Female,Post Graduate,35383,148311,Personal,571,12.98,5,Salaried,0
23870,47,Female,Under Graduate,76546,793525,Personal,530,9.17,10,Business,0
23871,49,Female,Graduate,162581,1012719,Business,750,13.01,1,Salaried,1
23872,23,Female,Under Graduate,150771,716069,Personal,753,20.4,10,Salaried,1
23873,64,Female,Graduate,149386,856916,Car,395,12.02,10,Business,0
23874,33,Female,Post Graduate,54221,773783,Car,802,17.33,10,Salaried,0
23875,30,Male,Graduate,179764,1157922,Car,595,23.99,7,Self-Employed,0
23876,56,Male,Post Graduate,114843,692731,Business,569,27.1,3,Salaried,1
23877,29,Female,Under Graduate,122863,1186451,Personal,726,22.01,1,Salaried,0
23878,47,Male,Graduate,93353,589578,Home,760,11.91,5,Self-Employed,0
23879,54,Female,Post Graduate,119819,1056217,Personal,359,15.66,10,Business,1
23880,21,Male,Post Graduate,130417,1193087,Personal,311,19.08,1,Self-Employed,0
23881,52,Female,Post Graduate,101248,847659,Personal,357,25.43,3,Salaried,0
23882,45,Male,Post Graduate,35964,831982,Education,629,18.95,10,Salaried,0
23883,49,Female,Post Graduate,178814,1012831,Personal,695,17.83,3,Salaried,0
23884,27,Male,Graduate,54195,496974,Personal,655,13.19,5,Self-Employed,1
23885,23,Male,Under Graduate,168469,740454,Home,775,17.99,10,Business,0
23886,40,Female,Under Graduate,88885,515756,Personal,755,14.37,5,Salaried,1
23887,40,Female,Graduate,32157,121188,Personal,831,19.29,10,Salaried,0
23888,50,Female,Graduate,142445,892625,Personal,834,24.17,3,Salaried,0
23889,55,Male,Under Graduate,82214,128543,Business,742,26.91,15,Salaried,0
23890,55,Male,Under Graduate,33885,1014296,Business,654,24.19,1,Salaried,0
23891,59,Male,Under Graduate,127922,1147089,Home,844,24.57,10,Self-Employed,0
23892,47,Male,Under Graduate,158090,871548,Education,670,15.16,1,Salaried,0
23893,46,Female,Graduate,99127,1055383,Education,345,21.91,10,Business,0
23894,34,Female,Under Graduate,20389,676057,Home,334,15.76,3,Salaried,1
23895,37,Male,Under Graduate,36519,1037738,Education,321,8.48,7,Salaried,0
23896,38,Female,Graduate,55224,1105312,Business,333,25.69,5,Salaried,0
23897,49,Female,Graduate,77944,57956,Home,335,9.05,7,Business,0
23898,40,Female,Post Graduate,43497,401375,Home,400,10.31,1,Business,1
23899,47,Female,Post Graduate,176266,825417,Personal,785,8.37,10,Self-Employed,1
23900,38,Male,Graduate,160840,706554,Home,453,9.35,10,Salaried,0
23901,24,Female,Graduate,179417,785365,Education,340,9.18,5,Self-Employed,1
23902,21,Female,Graduate,140784,1178913,Education,821,21.55,5,Self-Employed,0
23903,21,Female,Graduate,162189,352529,Car,656,25.07,7,Salaried,0
23904,46,Male,Graduate,58274,58287,Personal,690,23.93,7,Salaried,0
23905,40,Female,Under Graduate,94931,1045248,Business,341,20.53,7,Salaried,0
23906,43,Male,Graduate,29913,765504,Home,438,23.72,3,Business,0
23907,30,Male,Under Graduate,159857,425059,Home,764,17.13,10,Salaried,0
23908,31,Female,Under Graduate,127101,212595,Home,371,26.13,5,Self-Employed,0
23909,61,Female,Under Graduate,54237,911733,Personal,409,17.2,10,Salaried,0
23910,61,Male,Under Graduate,99987,865415,Home,371,8.56,15,Self-Employed,0
23911,25,Male,Graduate,50964,1080417,Home,345,22.05,3,Business,1
23912,21,Male,Graduate,119610,280497,Home,688,24.61,5,Self-Employed,1
23913,37,Male,Graduate,25332,1177738,Education,411,12.49,5,Salaried,1
23914,42,Female,Under Graduate,46263,1101781,Personal,569,14.36,3,Salaried,0
23915,54,Male,Graduate,67554,497018,Personal,333,21.9,3,Salaried,0
23916,61,Female,Post Graduate,171439,780205,Personal,516,19.48,1,Self-Employed,0
23917,49,Female,Under Graduate,162990,503565,Home,765,25.8,7,Salaried,0
23918,24,Male,Under Graduate,127544,1108420,Home,739,17.55,5,Business,0
23919,25,Female,Under Graduate,73480,88028,Home,703,21.45,1,Business,0
23920,31,Male,Post Graduate,170815,224469,Home,568,13.43,5,Salaried,0
23921,41,Male,Post Graduate,91863,224805,Personal,425,26.59,5,Salaried,1
23922,55,Male,Post Graduate,67354,439856,Personal,533,15.4,5,Self-Employed,0
23923,32,Female,Graduate,177986,130771,Personal,798,18.79,1,Salaried,0
23924,46,Female,Under Graduate,59709,1012509,Business,500,20.33,3,Self-Employed,0
23925,39,Male,Post Graduate,87933,295425,Business,522,13.09,1,Salaried,0
23926,27,Female,Graduate,35698,920447,Business,344,14.33,1,Salaried,0
23927,27,Female,Under Graduate,173523,421298,Personal,753,18.05,5,Self-Employed,1
23928,46,Female,Post Graduate,125463,183914,Personal,557,13.42,5,Salaried,0
23929,60,Female,Under Graduate,163489,995413,Personal,439,10.6,15,Business,1
23930,25,Female,Under Graduate,52954,232524,Education,619,24.73,3,Salaried,0
23931,41,Male,Under Graduate,82884,918864,Business,342,14.49,10,Business,0
23932,34,Female,Graduate,87100,826938,Home,350,16.32,3,Salaried,0
23933,24,Female,Graduate,120213,935531,Car,666,18.94,5,Self-Employed,0
23934,43,Male,Under Graduate,126773,906927,Home,696,24.85,5,Business,0
23935,62,Female,Under Graduate,168938,1029099,Education,528,10.81,5,Salaried,0
23936,40,Female,Post Graduate,41266,256426,Car,709,20.52,10,Salaried,0
23937,35,Female,Graduate,131847,408345,Education,524,15.02,1,Salaried,1
23938,49,Male,Graduate,163724,849043,Home,705,25.39,5,Salaried,0
23939,28,Female,Under Graduate,33789,254517,Personal,614,21.22,5,Salaried,0
23940,61,Female,Graduate,134624,416332,Home,502,10.9,1,Self-Employed,1
23941,39,Male,Graduate,163827,943992,Personal,602,13.94,1,Self-Employed,0
23942,59,Male,Post Graduate,62608,1043651,Car,330,8.72,10,Salaried,1
23943,48,Female,Graduate,50667,1158602,Personal,653,23.41,10,Salaried,0
23944,47,Male,Under Graduate,88234,933396,Personal,712,16.26,5,Salaried,1
23945,24,Male,Graduate,67929,389605,Personal,340,8.97,7,Self-Employed,0
23946,35,Male,Graduate,144177,901320,Education,508,8.27,15,Salaried,1
23947,55,Female,Post Graduate,100789,296511,Home,573,27.11,3,Self-Employed,0
23948,57,Female,Post Graduate,99671,379016,Education,395,25.05,3,Salaried,0
23949,21,Male,Graduate,78561,562554,Personal,309,14.69,10,Self-Employed,0
23950,23,Male,Post Graduate,102191,827786,Personal,671,18.33,1,Self-Employed,1
23951,44,Male,Graduate,136011,868211,Business,548,19.52,7,Business,1
23952,47,Male,Under Graduate,126055,492087,Home,328,18.31,5,Salaried,0
23953,60,Female,Graduate,35117,536407,Personal,319,14.16,10,Self-Employed,1
23954,56,Male,Under Graduate,104872,1079280,Business,628,15.81,5,Salaried,1
23955,54,Female,Post Graduate,36714,1068656,Business,751,11.62,5,Salaried,0
23956,49,Male,Graduate,161931,685452,Car,442,8.66,10,Salaried,0
23957,44,Female,Graduate,161099,553890,Car,479,11.09,5,Self-Employed,1
23958,44,Female,Post Graduate,109869,386905,Personal,514,8.26,15,Salaried,1
23959,62,Male,Graduate,131452,694317,Education,661,16.66,7,Self-Employed,0
23960,24,Female,Graduate,150041,894565,Personal,635,21.22,10,Salaried,1
23961,23,Female,Graduate,27184,545142,Business,428,11.62,5,Salaried,0
23962,54,Female,Post Graduate,175328,943725,Home,702,18.68,15,Salaried,0
23963,43,Male,Post Graduate,68339,82388,Personal,709,14.5,5,Salaried,0
23964,43,Female,Graduate,64896,436802,Personal,614,10.4,5,Salaried,0
23965,25,Female,Post Graduate,38557,1101502,Home,815,10.55,15,Self-Employed,0
23966,51,Male,Under Graduate,122013,211049,Personal,519,20.36,5,Self-Employed,0
23967,61,Male,Graduate,75039,907207,Business,796,10.35,5,Salaried,0
23968,26,Female,Under Graduate,105120,88630,Personal,487,19.07,7,Salaried,0
23969,57,Female,Post Graduate,164907,651256,Home,590,11.81,10,Salaried,0
23970,30,Male,Under Graduate,56492,125024,Car,663,25.32,5,Salaried,0
23971,60,Male,Graduate,72685,998881,Car,723,9,10,Self-Employed,1
23972,27,Female,Under Graduate,139753,509223,Home,454,15.74,3,Salaried,1
23973,59,Female,Post Graduate,144683,1155755,Personal,474,23.23,3,Salaried,0
23974,58,Male,Post Graduate,24693,874051,Home,609,22.98,5,Salaried,1
23975,41,Male,Post Graduate,68401,821366,Personal,561,10.9,3,Business,0
23976,40,Female,Graduate,176262,210672,Personal,460,11.93,5,Business,0
23977,23,Female,Under Graduate,146290,550695,Home,803,18.93,1,Salaried,1
23978,42,Male,Post Graduate,172718,529879,Car,485,21.69,3,Business,0
23979,24,Female,Graduate,46957,396714,Personal,792,23.05,15,Salaried,0
23980,48,Female,Graduate,136552,577897,Personal,337,20.41,10,Salaried,0
23981,32,Female,Graduate,130423,191858,Personal,843,23.66,1,Salaried,0
23982,58,Female,Post Graduate,57010,1016779,Personal,358,16.8,10,Business,0
23983,56,Male,Post Graduate,30251,973524,Business,473,19.21,5,Business,0
23984,61,Male,Post Graduate,42343,857184,Education,604,16.66,10,Business,1
23985,25,Female,Graduate,107943,656561,Personal,646,23.22,3,Self-Employed,1
23986,33,Female,Post Graduate,91734,490401,Home,368,11.5,7,Salaried,0
23987,43,Female,Post Graduate,116485,1074536,Education,789,13.05,15,Salaried,0
23988,50,Female,Graduate,134643,360632,Home,789,24.74,5,Business,0
23989,57,Male,Graduate,54385,313228,Car,453,22.29,10,Salaried,0
23990,45,Female,Graduate,58848,772013,Business,801,22.7,10,Salaried,1
23991,47,Female,Under Graduate,130538,159523,Home,535,9.98,3,Salaried,0
23992,34,Male,Under Graduate,132174,394821,Business,519,17.69,3,Salaried,1
23993,56,Male,Under Graduate,152971,667336,Personal,493,19.29,3,Salaried,0
23994,59,Female,Graduate,120338,608375,Business,558,23.6,3,Self-Employed,0
23995,36,Male,Under Graduate,33983,1066489,Education,794,16.44,5,Salaried,0
23996,42,Male,Post Graduate,42706,370339,Education,783,18.81,15,Salaried,0
23997,41,Female,Post Graduate,40357,1082941,Personal,448,12.77,5,Self-Employed,0
23998,41,Female,Graduate,47528,881657,Car,729,24.64,15,Self-Employed,0
23999,28,Male,Under Graduate,49223,753369,Home,664,26.28,5,Salaried,1
24000,36,Female,Under Graduate,69877,183418,Car,466,17.28,7,Salaried,1
24001,51,Male,Graduate,64487,427539,Personal,849,16.74,15,Self-Employed,0
24002,62,Male,Graduate,134167,824015,Personal,327,14.57,7,Self-Employed,0
24003,30,Male,Post Graduate,159103,931496,Home,752,13.34,5,Salaried,0
24004,52,Female,Under Graduate,176825,380395,Car,361,19.07,5,Salaried,0
24005,54,Female,Under Graduate,114197,1189607,Home,808,11.38,5,Self-Employed,0
24006,29,Male,Graduate,97137,489906,Personal,467,19.79,3,Self-Employed,0
24007,37,Male,Graduate,30675,993420,Personal,530,19.23,5,Salaried,0
24008,31,Female,Graduate,65221,712395,Business,334,21.88,5,Salaried,0
24009,52,Male,Under Graduate,179171,188884,Personal,512,12.51,10,Self-Employed,0
24010,30,Male,Under Graduate,109020,991920,Personal,580,22.04,1,Self-Employed,0
24011,42,Female,Post Graduate,70711,1041495,Personal,810,8.34,10,Self-Employed,1
24012,37,Female,Graduate,167856,307684,Personal,778,18.69,3,Salaried,0
24013,24,Female,Under Graduate,56978,374868,Personal,570,24.88,10,Business,0
24014,45,Female,Post Graduate,49022,290421,Personal,478,22.56,10,Salaried,0
24015,41,Male,Under Graduate,105251,1148847,Home,440,25.02,10,Salaried,0
24016,57,Female,Post Graduate,57739,309046,Car,395,10.97,15,Self-Employed,0
24017,58,Female,Under Graduate,103169,315994,Car,650,22.38,15,Salaried,0
24018,21,Male,Under Graduate,24226,917199,Personal,324,17.38,7,Business,0
24019,45,Male,Graduate,173863,736348,Car,450,14.46,10,Salaried,0
24020,56,Male,Under Graduate,120258,606588,Home,380,15.12,10,Self-Employed,0
24021,37,Female,Graduate,108897,274942,Education,791,10.04,5,Salaried,0
24022,61,Male,Under Graduate,126844,511900,Home,778,21.94,10,Salaried,0
24023,44,Female,Under Graduate,63478,565816,Business,606,20.64,5,Self-Employed,0
24024,22,Male,Graduate,61073,477923,Car,672,11.05,10,Salaried,0
24025,60,Female,Post Graduate,26161,419619,Home,437,18.88,10,Salaried,0
24026,35,Male,Post Graduate,117465,763128,Home,755,10.59,5,Business,0
24027,52,Female,Under Graduate,58229,1098260,Personal,738,14.27,5,Self-Employed,0
24028,59,Female,Under Graduate,21628,1014587,Car,677,8.88,7,Salaried,0
24029,26,Male,Post Graduate,93516,133555,Business,580,20.42,5,Salaried,1
24030,21,Male,Under Graduate,122542,1173272,Home,485,8.25,7,Business,0
24031,43,Female,Graduate,66892,1132295,Business,363,13.21,10,Salaried,0
24032,59,Male,Graduate,97411,1147223,Personal,618,13.33,5,Business,1
24033,37,Female,Graduate,42980,776975,Car,831,22.97,7,Business,0
24034,54,Female,Post Graduate,161373,818964,Car,843,17.01,1,Salaried,0
24035,61,Female,Graduate,70451,1082713,Personal,351,19.46,3,Business,1
24036,49,Male,Post Graduate,146630,1153793,Home,554,12.98,10,Salaried,0
24037,29,Female,Graduate,41798,199430,Business,337,18.95,15,Business,0
24038,33,Female,Under Graduate,121320,964970,Car,451,10.98,7,Business,0
24039,26,Female,Graduate,29589,835919,Education,782,27.85,7,Self-Employed,1
24040,26,Female,Post Graduate,131251,900331,Car,499,18.34,5,Salaried,0
24041,40,Male,Post Graduate,100633,1120421,Car,563,25.59,7,Self-Employed,0
24042,23,Male,Under Graduate,127656,574090,Personal,433,10.11,10,Salaried,0
24043,37,Female,Under Graduate,68222,546064,Car,470,19.81,3,Salaried,0
24044,32,Male,Under Graduate,26381,221234,Personal,798,21.42,5,Salaried,0
24045,21,Male,Under Graduate,110907,839563,Home,760,23.78,10,Salaried,0
24046,37,Female,Post Graduate,76615,651167,Business,710,17.72,1,Salaried,0
24047,23,Male,Graduate,88453,683437,Business,305,8.72,3,Salaried,0
24048,46,Male,Under Graduate,47115,828761,Car,443,13.22,5,Salaried,0
24049,35,Male,Under Graduate,24353,161562,Personal,740,13.61,7,Salaried,0
24050,56,Male,Graduate,96162,120995,Personal,361,14.37,10,Salaried,0
24051,52,Male,Under Graduate,89901,874426,Personal,748,9.84,3,Salaried,0
24052,52,Male,Under Graduate,46576,923990,Home,445,8.01,7,Salaried,0
24053,24,Female,Under Graduate,133506,630116,Business,550,18.39,5,Self-Employed,0
24054,38,Male,Under Graduate,105038,1008203,Education,412,22.74,5,Salaried,0
24055,39,Female,Graduate,174205,586676,Home,721,12.6,1,Business,0
24056,63,Female,Graduate,63701,795694,Business,796,21.88,3,Salaried,0
24057,55,Female,Graduate,111837,983207,Business,301,22.62,10,Salaried,0
24058,60,Male,Graduate,144390,1041012,Home,580,16.22,5,Salaried,0
24059,34,Male,Under Graduate,103661,135056,Home,750,18.5,10,Salaried,0
24060,53,Female,Graduate,47468,716877,Personal,549,14.28,10,Salaried,0
24061,34,Female,Post Graduate,144854,272065,Personal,744,15.5,10,Salaried,0
24062,54,Female,Post Graduate,59123,1154298,Home,308,19.78,15,Self-Employed,0
24063,24,Male,Under Graduate,92599,1003920,Education,713,15.24,3,Salaried,0
24064,44,Male,Graduate,157075,967755,Car,789,18.02,1,Salaried,0
24065,49,Male,Graduate,162096,1038271,Business,704,22.88,5,Self-Employed,0
24066,39,Female,Graduate,37173,543307,Car,600,27.29,15,Self-Employed,0
24067,26,Male,Graduate,157530,950386,Personal,439,25.82,3,Salaried,0
24068,53,Male,Under Graduate,81194,574567,Personal,423,26.29,5,Salaried,0
24069,60,Female,Under Graduate,141110,955509,Personal,601,26.22,5,Salaried,0
24070,39,Male,Post Graduate,73621,160770,Education,646,12.83,7,Salaried,1
24071,21,Female,Under Graduate,84213,502796,Business,359,26.93,5,Salaried,0
24072,25,Male,Graduate,125959,121847,Personal,609,12.45,15,Self-Employed,1
